#K-Path          Energy    tot
# NKPTS & NBANDS:  99  48
# Band-Index    1
    1.07894    -6.277674    0.054
    1.11490    -6.299050    0.051
    1.15087    -6.306251    0.051
    1.15087    -6.306251    0.051
    1.17163    -6.307518    0.051
    1.19240    -6.311302    0.050
    1.21316    -6.317490    0.050
    1.23393    -6.326110    0.048
    1.25469    -6.337119    0.047
    1.27545    -6.350534    0.045
    1.29622    -6.366296    0.043
    1.31698    -6.384347    0.040
    1.33775    -6.404601    0.037
    1.35851    -6.426932    0.034
    1.37927    -6.451199    0.031
    1.40004    -6.477225    0.029
    1.42080    -6.504786    0.025
    1.44157    -6.533628    0.023
    1.46233    -6.563448    0.020
    1.48309    -6.593894    0.017
    1.50386    -6.624507    0.015
    1.52462    -6.654558    0.012
    1.54539    -6.682366    0.009
    1.56615    -6.700772    0.002
    1.58692    -6.681613    0.006
    1.60768    -6.628729    0.014
    1.62844    -6.567484    0.017
    1.64921    -6.503665    0.018
    1.66997    -6.438989    0.020
    1.69074    -6.374621    0.021
    1.71150    -6.311857    0.023
    1.73226    -6.252530    0.024
    1.75303    -6.199254    0.027
    1.77379    -6.155827    0.030
    1.79456    -6.126971    0.032
    1.81532    -6.116858    0.034
    1.81532    -6.116858    0.034
    1.85685    -6.153991    0.030
    1.89838    -6.241056    0.024
    1.93990    -6.342926    0.022
    1.98143    -6.439390    0.024
    2.02296    -6.519565    0.026
    2.06449    -6.567344    0.025
    2.10602    -6.512527    0.010
    2.14755    -6.391642    0.014
    2.18907    -6.251475    0.021
    2.23060    -6.100247    0.039
    2.27213    -5.948284    0.089
    2.31366    -5.827763    0.275
    2.35519    -5.726053    0.691
    2.39671    -5.546349    0.648
    2.43824    -5.395541    0.520
    2.47977    -5.301163    0.313
    2.52130    -5.238603    0.173
    2.56283    -5.169768    0.105
    2.60436    -5.081098    0.069
    2.64588    -4.971963    0.047
    2.68741    -4.847295    0.036
    2.72894    -4.711775    0.028
    2.77047    -4.570531    0.024
    2.81200    -4.428155    0.020
    2.85352    -4.289063    0.019
    2.89505    -4.156113    0.015
    2.93658    -4.035753    0.013
    2.97811    -3.930103    0.010
    3.01964    -3.842975    0.009
    3.06117    -3.807059    0.865
    3.10269    -3.826256    0.872
    3.14422    -3.817194    0.871

# Band-Index    9
    3.14422    -3.729060    0.003
    3.10269    -3.735884    0.002
    3.06117    -3.776914    0.010
    3.01964    -3.800641    0.328
    2.97811    -3.879182    0.336
    2.93658    -3.971081    0.343
    2.89505    -4.072342    0.353
    2.85352    -4.179417    0.362
    2.81200    -4.289036    0.369
    2.77047    -4.398038    0.375
    2.72894    -4.505417    0.378
    2.68741    -4.608505    0.380
    2.64588    -4.706237    0.376
    2.60436    -4.798666    0.368
    2.56283    -4.887347    0.352
    2.52130    -4.976087    0.323
    2.47977    -5.066204    0.263
    2.43824    -5.141685    0.109
    2.39671    -5.283818    0.059
    2.35519    -5.444456    0.136
    2.31366    -5.537139    0.371
    2.27213    -5.529989    0.543
    2.23060    -5.484872    0.592
    2.18907    -5.436596    0.616
    2.14755    -5.396417    0.634
    2.10602    -5.371079    0.655
    2.06449    -5.367501    0.670
    2.02296    -5.394881    0.665
    1.98143    -5.458887    0.630
    1.93990    -5.549003    0.590
    1.89838    -5.640823    0.558
    1.85685    -5.707967    0.532
    1.81532    -5.731729    0.519
    1.81532    -5.731729    0.519
    1.79456    -5.725782    0.523
    1.77379    -5.708514    0.534
    1.75303    -5.682859    0.546
    1.73226    -5.654138    0.556
    1.71150    -5.627969    0.562
    1.69074    -5.608092    0.562
    1.66997    -5.595543    0.561
    1.64921    -5.589678    0.559
    1.62844    -5.589190    0.559
    1.60768    -5.592804    0.559
    1.58692    -5.599458    0.559
    1.56615    -5.608369    0.562
    1.54539    -5.618904    0.565
    1.52462    -5.630593    0.569
    1.50386    -5.643047    0.572
    1.48309    -5.655972    0.577
    1.46233    -5.669102    0.582
    1.44157    -5.682235    0.586
    1.42080    -5.695192    0.591
    1.40004    -5.707798    0.596
    1.37927    -5.719910    0.600
    1.35851    -5.731395    0.606
    1.33775    -5.742140    0.610
    1.31698    -5.752020    0.612
    1.29622    -5.760965    0.616
    1.27545    -5.768869    0.619
